"","term","sumsq","meansq","NumDF","DenDF","statistic","p.value"
"1","Glycosides.Ac",0.000485798429578488,0.000485798429578488,1,20.7317109639784,0.00342248945249867,0.953908964642669
"2","Pollination",0.404516645156148,0.404516645156148,1,54.2474970213355,2.84985266956979,0.0971240142768978
"3","Herbivory",0.104248615165172,0.104248615165172,1,65.8880912864054,0.734439973694378,0.39455416680619
"4","Flwr.date.S",0.361535439184469,0.361535439184469,1,53.7382632386374,2.54704657729529,0.116365412482014
"5","Bnr.ht.S",1.01115370565216,1.01115370565216,1,67.4490233399121,7.12366010621354,0.00952075981373401
"6","Bnr.wdth.S",0.85599595058373,0.85599595058373,1,35.3697148924201,6.03056110081776,0.0191125177982639
"7","Infl.S",15.4030697623182,15.4030697623182,1,69.1628660859917,108.515879401619,8.19448765025184e-16
"8","Glycosides.Ac:Pollination",0.0964222150724778,0.0964222150724778,1,54.1584589018557,0.679302348421437,0.413442182297115
"9","Glycosides.Ac:Herbivory",0.0533569629666809,0.0533569629666809,1,64.7497978910108,0.375904144295558,0.541951139393001
"10","Glycosides.Ac:Flwr.date.S",0.311995120516411,0.311995120516411,1,53.3420586471744,2.19803100253939,0.14407144206957
"11","Pollination:Flwr.date.S",2.05440206429092,2.05440206429092,1,67.8538432237812,14.4734296533809,0.000307435714649239
"12","Glycosides.Ac:Bnr.wdth.S",0.387879823961335,0.387879823961335,1,34.2933034804191,2.73264491096966,0.107443783543267
"13","Herbivory:Bnr.wdth.S",1.00262994293992,1.00262994293992,1,59.7523635739699,7.06360950456056,0.0100770497286134
"14","Glycosides.Ac:Bnr.ht.S",5.07210828075027e-07,5.07210828075027e-07,1,65.743831171583,3.57334154164743e-06,0.998497461316441
"15","Herbivory:Bnr.ht.S",0.315072158385605,0.315072158385605,1,67.5030151072044,2.2197089846222,0.140916601496615
"16","Glycosides.Ac:Infl.S",0.0574155394715301,0.0574155394715301,1,68.2045432374519,0.404497145907476,0.526904320695616
"17","Herbivory:Infl.S",1.33996333323749,1.33996333323749,1,66.836070601835,9.44015067878957,0.00307034643929303
"18","Glycosides.Ac:Pollination:Flwr.date.S",1.15781030785993,1.15781030785993,1,67.3642719398651,8.15686779819988,0.00569867720343989
"19","Glycosides.Ac:Herbivory:Bnr.wdth.S",0.263531301939262,0.263531301939262,1,59.5938023532558,1.85659945848928,0.178145101578796
"20","Glycosides.Ac:Herbivory:Bnr.ht.S",0.00413521959003897,0.00413521959003897,1,65.6913122519109,0.0291329583814302,0.864997030699888
